,location,company,turnstileLink,snip
0,"Dallas, TX",Parkland Health and Hospital System,Enterprise Data Scientist,
1,"Dallas, TX",Parkland Health and Hospital System,Data & Applied Scientist- PCCI,
2,"Richardson, TX 75082",Samsung Electronics,Data Science Intern - Summer 2019,
3,"Plano, TX 75086",Capital One,Data Science Intern,
4,"Richardson, TX",Verveba Analytics,Data Scientist- Multiple Openings,
5,"Plano, TX 75093",PepsiCo,R&D Intern,
6,"Dallas, TX",Zimmerman Advertising,Data Scientist,
7,"Irving, TX",7-Eleven,Data Scientist,
8,"Dallas, TX 75224 (Southwest Dallas area)",Money Mart Financial Services,Data Scientist (Advanced Degree Required),
9,"Plano, TX",Ericsson,Data Scientist,
10,"Plano, TX",Ericsson,Data Scientist,
11,"Dallas, TX",Fred's,"Data Scientist, Forecasting & Planning",
12,"Dallas, TX",ICF,"School Survey Data Collector -Dallas, TX",$720 a week
13,"Dallas, TX",REPAY,Data Scientist - Payments / FinTech - A FORTUNE Top 50 Best...,
14,"Richardson, TX 75082",Samsung Electronics,Data Science Intern - Summer 2019,
15,"Coppell, TX 75019",Caliber Home Loans,Data Scientist,
16,"Dallas, TX",Zimmerman Advertising,Data Scientist,
17,"Irving, TX 75038",Boy Scouts of America,Data Scientist,
18,"Irving, TX",7-Eleven,Data Scientist,
19,"Dallas-Fort Worth, TX",Texas Tech Univ Health Sciences Ctr,HSC Sr Research Scientist,"$4,000 a month"
20,"Dallas, TX 75206 (M Streets area)",Jewelers Mutual Insurance Company,Data Scientist II,
21,"Plano, TX 75093",STATinMED Research,"Statistical Analyst, Jr",
22,"Dallas, TX",Impetus Technologies,Data Scientist,
23,"Irving, TX",W.R. Berkley,Data Scientist,
24,"Dallas, TX 75224 (Southwest Dallas area)",Money Mart Financial Services,Senior Data Scientist,
25,"Plano, TX",Pizza Hut Corporate,Sr. Scientist Product Development,
26,"Dallas, TX 75204 (M Streets area)",Saputo,Regulatory Scientist,
27,"Irving, TX",Frontier Communications Corporation,Senior Data Scientist,
28,"Dallas, TX 75234",APTIM,Environmental Scientist,
29,"Dallas, TX 75201 (City Center District area)","HKS, Inc.",Accounts Payable Clerk,
30,"Dallas, TX",Mary Kay Inc,Research & Development Internships,
31,"Lewisville, TX 75067",JP Morgan Chase,"Associate, Business Analysis | Data Analyst",
32,"Irving, TX 75062",Flowserve Corporation,Data Analyst,
33,"Irving, TX 75039",TXU Energy,Technology Research Analyst,
34,"Allen, TX",JLL,Data Scientist,
35,"Plano, TX 75093",PepsiCo,Principal Scientist - Dips/Salsa's,
36,"Irving, TX",Vistra Corporate Services Company,Technology Research Analyst,
37,"Plano, TX 75086",Intuit,Senior Data Scientist,
38,"Plano, TX",AT&T,Senior-Data Scientist,
39,"Garland, TX",TEXAS DEPARTMENT OF PUBLIC SAFETY,DPS - LES - Forensic Scientist V DNA,
40,"Irving, TX",Allstate,"Data Analytics Engineer Internship (Irving, TX)",
41,"Dallas, TX 75247 (Northwest Dallas area)",Terracon,Field Geologist/Scientist,
42,"Dallas, TX",ICF,"School Survey Data Collector -Dallas, TX",$720 a week
43,"Richardson, TX","Blue Cross Blue Shield of IL, MT, NM, OK & TX",Senior Data Scientist,
44,"Dallas, TX",TEGNA,Research Analyst,
45,"Dallas, TX",AT&T,Senior-Advanced Analytics (Data Scientist),
46,"Allen, TX",JLL,Data Scientist,
47,"Dallas, TX 75252 (Far North area)","Mode Transportation, LLC",Senior Data Scientist,
48,"Plano, TX 75093",STATinMED Research,Statistical Programmer - Junior,
49,"Dallas, TX 75235 (Love Field area)",BOEING,Procurement Agent,
50,"Dallas, TX 75234",APTIM,Environmental Intern,
51,"Plano, TX 75086",Intuit,Senior Data Scientist,
52,"Dallas, TX",Parkland Health and Hospital System,Machine Learning Engineer-PCCI,
53,"Dallas, TX 75230 (North Dallas area)",Deloitte,"Manager: Technology Researcher-Analytics, AI, and Machine Le...",
