location,company,job_title,salary
"Dallas, TX",Quisitive,O365 Architect,120500.0
"Dallas, TX",Givelify,Senior Product Manager,122500.0
"Dallas, TX 75246 (Northeast Dallas area)",Baylor Scott & White Health,Research Post Doctorate Fellow - GI Cancer (Dallas),47500.0
"Dallas, TX",CBRE,Senior Product Manager,124000.0
"Irving, TX","Kleinfelder, Inc.",Construction Materials Testing Technician,35000.0
"Dallas, TX","JDA Software Group, Inc.",Senior Optimization Engineer,133500.0
"Dallas, TX",Door - Real Estate | Mortgage | Title,UX Designer,94500.0
"Dallas, TX",M Science,SOFTWARE ENGINEER,121000.0
"Dallas, TX",M Science,UI ENGINEER,106500.0
"Dallas, TX",Gurutech Solutions,Sr Software Engineer,116000.0
"Dallas, TX",Nuanza inc,Jr Java/ J2ee Developer :: OPT / CPT / GC/ USC / H4 / L2,126000.0
"Addison, TX 75001","Authentix, Inc.",Senior Systems Engineer,110000.0
"Aurora, CO",University of Colorado,Senior Professional Research Assistant,65000.0
"Boulder, CO",UCAR,Meeting Planner II,50500.0
"Denver, CO 80221",Transamerica,Data Scientist,106000.0
"Aurora, CO",University of Colorado,Professional Research Asst,42500.0
"Denver, CO",Aegon,Internship - Data Science (Summer 2019,105000.0
"Thornton, CO",Avaya Corporation,Data Scientist,109000.0
"Boulder, CO 80305 (Central Boulder area)",US Department of Commerce,"Student Trainee (Physical Scientist), ZP-1399-I",38690.5
"Buckley AFB, CO",US Department of the Air Force,Operations Research Analyst,113620.5
"Lakewood, CO",Weston Solutions,Munitions Response Project Engineer or Scientist,57500.0
"Boulder, CO 80303 (Southeast Boulder area)",University of Colorado Boulder,Professional Assistant,27500.0
"Boulder, CO",UCAR,JCSDA Project Scientist I/II - ESRL Liaison,95500.0
"Boulder, CO 80305 (Central Boulder area)",US Department of Commerce,"Student Trainee (Engineering), ZP-0899-I",38690.5
"Boulder, CO",UCAR,JCSDA Software Engineer II - PyOOPS,82500.0
"Boulder, CO 80303 (Southeast Boulder area)",University of Colorado Boulder,Mechanical Engineer,70000.0
"Boulder, CO",Ball Aerospace,Machinist Prototype Sr - (664396),57000.0
"Boulder, CO",Ball Aerospace,Engineer I-Mechanical (664853),80000.0
"Westminster, CO",Ball Aerospace,Technician II-Harness & Wiring (HPC) (665054),53500.0
"Boulder, CO 80303 (Southeast Boulder area)",University of Colorado Boulder,PostDoctoral Scientist in Aquatic Ecology,52000.0
"Boulder, CO",UCAR,JCSDA Software Engineer II - Obs Storage,82500.0
"Boulder, CO",Ball Aerospace,Senior Engineer-Space Systems Simulators (663331),108500.0
"Boulder, CO",Ball Aerospace,Engineer Senior-Manufacturing (663882),103000.0
"Denver, CO 80235",SRK Consulting,Senior Accountant,72500.0
"Denver, CO 80237 (Southeastern Denver area)",GEI Consultants Inc,Software Architect,109500.0
"Golden, CO",xentity corporation,Geospatial Architect,125500.0
"Denver, CO",DataRobot,"Senior Front End Engineer, UI/UX team",119000.0
